"point_4326";"point_4326";"posicao"
"POINT(-43.1901589 -22.9367051)";"POINT(-4807906.49602857 -2624365.98266789)";260
"POINT(-43.1900918 -22.9364837)";"POINT(-4807899.02649074 -2624339.22063787)";261
"POINT(-43.1900706 -22.9364426)";"POINT(-4807896.66651754 -2624334.25262357)";262
"POINT(-43.1900399 -22.9363447)";"POINT(-4807893.24900917 -2624322.41884374)";263
"POINT(-43.1899769 -22.9361949)";"POINT(-4807886.23588125 -2624304.31160577)";264
"POINT(-43.1896207 -22.935781)";"POINT(-4807846.58387863 -2624254.28109714)";265
"POINT(-43.1894224 -22.9355645)";"POINT(-4807824.5092236 -2624228.11153951)";266
"POINT(-43.1890295 -22.935339)";"POINT(-4807780.77179567 -2624200.85414637)";267
"POINT(-43.1889859 -22.935314)";"POINT(-4807775.91826587 -2624197.83226523)";268
"POINT(-43.188722 -22.9351752)";"POINT(-4807746.54105225 -2624181.05479126)";269
"POINT(-43.1886729 -22.9351496)";"POINT(-4807741.07526525 -2624177.96038872)";270
"POINT(-43.1886356 -22.9042614)";"POINT(-4807736.92304825 -2620444.77210063)";271
"POINT(-43.1885692 -22.9042389)";"POINT(-4807729.53143406 -2620442.05303124)";272
"POINT(-43.1882999 -22.9041572)";"POINT(-4807699.55309519 -2620432.17979197)";273
"POINT(-43.1880873 -22.9040907)";"POINT(-4807675.88657144 -2620424.14343882)";274
"POINT(-43.1878291 -22.9347103)";"POINT(-4807647.14387892 -2624124.86004876)";275
"POINT(-43.1874839 -22.9345236)";"POINT(-4807608.7163907 -2624102.29275862)";276
"POINT(-43.1865273 -22.9354459)";"POINT(-4807502.22816581 -2624213.77571644)";277
"POINT(-43.1863653 -22.9035102)";"POINT(-4807484.1944083 -2620353.99168129)";278
"POINT(-43.1862546 -22.9034802)";"POINT(-4807471.87134067 -2620350.36627562)";279
"POINT(-43.1858968 -22.9351158)";"POINT(-4807432.04122686 -2624173.87481126)";280
"POINT(-43.1854836 -22.93489)";"POINT(-4807386.04401327 -2624146.58124599)";281
"POINT(-43.1847777 -22.9345741)";"POINT(-4807307.46358472 -2624108.39692348)";282
"POINT(-43.1841638 -22.9028039)";"POINT(-4807239.12454932 -2620268.63776005)";283
"POINT(-43.1841223 -22.9027919)";"POINT(-4807234.50479045 -2620267.18760524)";284
"POINT(-43.184001 -22.9027469)";"POINT(-4807221.00173622 -2620261.74952585)";285
"POINT(-43.1839894 -22.9342461)";"POINT(-4807219.71043012 -2624068.75011118)";286
"POINT(-43.1837241 -22.9026477)";"POINT(-4807190.17736922 -2620249.76158831)";287
"POINT(-43.1832877 -22.9025022)";"POINT(-4807141.59754343 -2620232.17849014)";288
"POINT(-43.1832049 -22.9338913)";"POINT(-4807132.38028959 -2624025.86397234)";289
"POINT(-43.1831981 -22.9024752)";"POINT(-4807131.62331706 -2620228.91564926)";290
"POINT(-43.1829281 -22.9337848)";"POINT(-4807101.56705454 -2624012.99090017)";291
"POINT(-43.1826187 -22.9337001)";"POINT(-4807067.12480409 -2624002.75288662)";292
"POINT(-43.1817584 -22.9020494)";"POINT(-4806971.35664616 -2620177.45952596)";293
"POINT(-43.1816906 -22.9020278)";"POINT(-4806963.80918469 -2620174.84926192)";294
"POINT(-43.1815129 -22.9019713)";"POINT(-4806944.02771118 -2620168.02148988)";295
"POINT(-43.1813083 -22.9333241)";"POINT(-4806921.25174336 -2623957.30440318)";296
"POINT(-43.1812256 -22.9018776)";"POINT(-4806912.04562147 -2620156.69827066)";297
"POINT(-43.1809111 -22.9332466)";"POINT(-4806877.03564161 -2623947.93671284)";298
"POINT(-43.1806651 -22.9331983)";"POINT(-4806849.65104688 -2623942.09852918)";299
"POINT(-43.1806616 -22.9016936)";"POINT(-4806849.26142866 -2620134.46272954)";300
"POINT(-43.1805972 -22.9016729)";"POINT(-4806842.09245345 -2620131.96123305)";301
"POINT(-43.1803137 -22.9331217)";"POINT(-4806810.53337781 -2623932.83963349)";302
"POINT(-43.179523 -22.9329605)";"POINT(-4806722.51305644 -2623913.35487272)";303
