dataHora,ordem,linha,latitude,longitude,velocidade
10-15-2017 15:42:34,A55075,,"-22.90626","-43.261711",0
10-15-2017 15:43:07,A55056,,"-22.905861","-43.260948",0
10-15-2017 15:44:02,A41108,108,"-22.875355","-43.240543",0.19
10-15-2017 15:44:19,B27108,639,"-22.81749","-43.301891",0
10-15-2017 15:44:21,B63109,,"-22.792509","-43.294449",0
10-15-2017 15:44:31,B63003,,"-22.79257","-43.29446",0
10-15-2017 15:44:34,B63010,,"-22.79248","-43.294491",0
10-15-2017 15:44:38,B63059,,"-22.792231","-43.294231",0
10-15-2017 15:44:41,B63027,,"-22.79249","-43.294601",0
10-15-2017 15:44:41,B63076,,"-22.792891","-43.294491",0
10-15-2017 15:44:41,B63083,,"-22.792379","-43.294258",0
10-15-2017 15:46:20,B32655,,"-22.81418","-43.382549",0
10-15-2017 15:46:31,B32597,,"-22.81671","-43.394291",15
10-15-2017 15:46:52,B32637,298,"-22.874411","-43.284069",36
10-15-2017 15:46:54,A71531,217,"-22.930132","-43.25391",0
10-15-2017 15:47:30,B32717,,"-22.81424","-43.382671",0
10-15-2017 15:47:48,D53515,397,"-22.883671","-43.494999",0
10-15-2017 15:47:52,A71574,409,"-22.929583","-43.254154",0
10-15-2017 15:48:04,A71602,217,"-22.930321","-43.254036",0
10-15-2017 15:48:22,B28566,,"-22.81535","-43.18819",0
10-15-2017 15:48:48,C41411,112,"-22.858768","-43.245201",0
10-15-2017 15:48:56,A71621,539,"-22.929937","-43.254559",0
10-15-2017 15:49:33,C47627,553,"-22.95183","-43.34856",20
10-15-2017 15:49:55,D53522,,"-22.884081","-43.496181",0
10-15-2017 15:49:56,C42653,,"-22.87623","-43.329571",0
10-15-2017 15:50:06,A72017,422,"-22.889217","-43.29306",0
10-15-2017 15:50:17,B28583,325,"-22.815121","-43.188278",0
10-15-2017 15:50:21,B11676,908,"-22.866648","-43.355255",0
10-15-2017 15:50:40,C82540,678,"-22.910353","-43.270668",0
10-15-2017 15:50:57,B82551,711,"-22.859238","-43.370853",0
10-15-2017 15:51:25,B82564,653,"-22.857576","-43.371109",0.56
10-15-2017 15:51:40,A48015,415,"-22.910444","-43.270729",0.19
10-15-2017 15:51:46,A41210,460,"-22.857624","-43.244999",0
